id,State_Name,Mean,Median,Stdev,sum_w
60219539,California,68649,66137,55052,298.5480322
60219549,California,130286,139705,75860,196.6173076
60219559,California,69217,62707,42927,368.9089381
60219569,California,146300,135413,68496,165.1169057
60219579,California,118565,300000,61181,94.35846659
60219589,California,67308,17230,79359,349.1139904
6021959,California,43901,35251,35417,610.3050149
60219599,California,116522,300000,54193,170.8168008
60219609,California,159907,300000,59467,115.1842822
60219619,California,69568,57940,53159,218.688673
60219629,California,155496,300000,81335,81.59295861
60219639,California,176723,300000,73898,74.09193981
60219649,California,118310,99530,72214,59.75913736
60219659,California,102205,96360,66392,130.491137
60219669,California,43156,27630,36902,341.5150873
60219679,California,146298,300000,90578,146.2238739
60219689,California,55115,45519,45597,435.6119566
6021969,California,33342,27618,29725,752.4611006
60219699,California,23968,17647,19930,296.3537201
60219709,California,160443,300000,86666,56.5285254
60219719,California,113941,99087,56871,108.3516787
60219729,California,80280,300000,30069,188.3183667
60219739,California,123138,127819,53623,123.8870571
60219749,California,168957,300000,79604,134.4251905
60219759,California,42873,31807,40320,278.552034
60219769,California,51105,40893,46144,620.5795775
60219779,California,113011,94992,75809,156.655599
60219789,California,119838,300000,73822,229.8555947
6021979,California,40558,32332,38077,1073.767782
60219799,California,137222,135045,83639,210.9865491
60219809,California,106264,300000,69121,220.4538908
60219819,California,73324,56298,57059,311.2480299
60219829,California,126351,300000,74675,108.0933989
60219839,California,99411,103842,38302,71.19058137
60219849,California,39435,20394,49582,290.060605
60219859,California,106095,300000,70856,184.7908158
60219869,California,96488,74370,70628,542.5242027
60219879,California,128210,300000,66555,146.455388
60219889,California,121173,113437,80521,293.3048777
6021989,California,21116,13820,20722,588.1668144
60219899,California,86494,73058,61340,320.8844842
602199,California,85334,64906,67832,1130.072569
60219909,California,78657,83019,57417,217.7540278
60219919,California,69922,69182,39947,293.1141718
60219929,California,68717,67425,42877,106.0595228
60219939,California,47897,300000,35543,151.364133
60219949,California,41902,30386,47147,197.8957254
60219959,California,43133,29872,33831,323.3929047
60219969,California,76750,59646,60092,163.2578083
60219979,California,73388,66741,50549,124.4602895
60219989,California,49548,300000,28417,311.7955784
6021999,California,150761,160430,89190,352.1773557
60219999,California,55783,40846,46986,248.7219854
60220009,California,81449,49973,73571,347.9130269
60220019,California,62096,59862,42649,637.5952618
60220029,California,74925,59651,57597,296.5872885
60220039,California,83431,84772,55508,267.8453786
60220049,California,172734,300000,78612,98.52312168
60220059,California,165335,300000,81316,184.7885758
60220069,California,55637,300000,26509,350.0502459
60220079,California,70957,60350,50530,240.0522221
60220089,California,112885,100412,66674,211.5519714
6022009,California,144174,158988,94528,460.9706315
60220099,California,112819,111246,60639,117.4853835
60220109,California,57871,40843,49109,457.785638
60220119,California,64107,300000,51885,185.69269
60220129,California,0,0,0,0
60220139,California,92528,86223,59096,115.8261002
60220149,California,74385,68440,54406,243.9555533
60220159,California,66540,50467,54795,134.8614847
60220169,California,97024,92986,58129,207.5518814
60220179,California,77785,300000,46739,218.7902337
60220189,California,89987,300000,60859,311.487347
6022019,California,0,0,0,0
60220199,California,55521,47315,38922,294.8583218
60220209,California,61456,51406,46315,620.9758023
60220219,California,48310,41631,34095,507.716764
